method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
rgta_eff,kiva,60,9,4,2600,739.796905515671,2578.8336309656092,8870.034624647815,44.12952549576027,3.437997916530161,1000,2600
tp,kiva,80,6,0,2600,1244.1667618950457,3729.720642012253,1539.633325417526,0.8728080076063073,0.41265969590392015,2600,2600
tsp_mapd,kiva,80,6,0,2600,1095.2973580898145,3208.0782876326766,354.7319309145678,1.7560986678939,0.11050838969301177,1300,2600
tp_tsp,kiva,80,6,0,2600,944.5630381802315,2920.218164038984,557.6066639332566,2.77416250713063,0.19083048046997148,1300,2600
rgta_eff,kiva,80,6,0,2600,706.9615789896621,2526.7527736998723,5645.865525759291,28.088883212732792,2.233332882025036,1300,2600
tp,kiva,80,6,1,2600,1240.819010300096,3678.8413437416,1543.7632740940899,0.8741581393511267,0.41950088969948096,2600,2600
tsp_mapd,kiva,80,6,1,2600,1082.1994995158068,3169.0964021396426,351.9970448978711,1.7339755906299068,0.11100505988579977,1300,2600
tp_tsp,kiva,80,6,1,2600,947.001352485819,2833.3521325133747,563.6015952622984,2.803988036130838,0.1988012681701229,1300,2600
rgta_eff,kiva,80,6,1,2600,698.8905718716235,2361.8647270745105,5678.825545008294,28.252863408001463,2.403227060942994,1300,2600
tp,kiva,80,6,2,2600,1240.9289928889548,3732.1992583764704,1565.0480166077614,0.8877186707928312,0.41913444472623496,2600,2600
tsp_mapd,kiva,80,6,2,2600,1085.5937431728103,3108.5801166668202,354.03173696249723,1.7526323612004813,0.11383657137057789,1300,2600
tp_tsp,kiva,80,6,2,2600,937.5823857742453,2833.9669966924585,563.1607972609345,2.8017950112484304,0.19864578386629084,1300,2600
rgta_eff,kiva,80,6,2,2600,696.0030929025434,2470.2977498543128,5675.7703419425525,28.237663392749017,2.2960236011094466,1300,2600
tp,kiva,80,6,3,2600,1262.0503886330057,3542.058846332706,1556.9285430246964,0.8741878399914073,0.4393139229753658,2600,2600
tsp_mapd,kiva,80,6,3,2600,1089.9151746510395,3214.3210706138,353.34979207254946,1.6906688615911458,0.10987244778375294,1300,2600
tp_tsp,kiva,80,6,3,2600,949.879871716448,2874.5443159485694,564.0223539376166,2.8060813628737145,0.19611347494353845,1300,2600
rgta_eff,kiva,80,6,3,2600,708.0820193728424,2418.518834994586,5636.205855960725,28.040825154033456,2.3290106842812914,1300,2600
tp,kiva,80,6,4,2600,1241.9436691771355,3630.1072807082433,1561.0700488905422,0.8834578658124178,0.4298100354874841,2600,2600
